Date,SWE (in)
10/1/2009,0
10/2/2009,0
10/3/2009,0
10/4/2009,0
10/5/2009,0.1
10/6/2009,0.4
10/7/2009,0.4
10/8/2009,0.4
10/9/2009,0.5
10/10/2009,0.8
10/11/2009,0.8
10/12/2009,1.1
10/13/2009,1.1
10/14/2009,1.2
10/15/2009,1.7
10/16/2009,1.7
10/17/2009,1.7
10/18/2009,1.7
10/19/2009,1.7
10/20/2009,1.8
10/21/2009,1.8
10/22/2009,1.8
10/23/2009,1.8
10/24/2009,1.9
10/25/2009,2.4
10/26/2009,2.6
10/27/2009,2.7
10/28/2009,3.2
10/29/2009,3.4
10/30/2009,3.8
10/31/2009,4
11/1/2009,4
11/2/2009,4
11/3/2009,4
11/4/2009,4
11/5/2009,4
11/6/2009,4
11/7/2009,4
11/8/2009,4
11/9/2009,4
11/10/2009,4
11/11/2009,4
11/12/2009,4
11/13/2009,4.1
11/14/2009,4.5
11/15/2009,4.7
11/16/2009,4.8
11/17/2009,4.8
11/18/2009,4.8
11/19/2009,4.8
11/20/2009,4.8
11/21/2009,4.9
11/22/2009,5
11/23/2009,5.1
11/24/2009,5.5
11/25/2009,5.5
11/26/2009,5.6
11/27/2009,5.6
11/28/2009,5.6
11/29/2009,5.6
11/30/2009,5.6
12/1/2009,5.6
12/2/2009,5.6
12/3/2009,5.7
12/4/2009,5.8
12/5/2009,5.8
12/6/2009,5.8
12/7/2009,5.9
12/8/2009,6.1
12/9/2009,6.3
12/10/2009,6.5
12/11/2009,6.6
12/12/2009,6.6
12/13/2009,6.6
12/14/2009,7.1
12/15/2009,7.2
12/16/2009,7.2
12/17/2009,7.2
12/18/2009,7.3
12/19/2009,7.4
12/20/2009,7.4
12/21/2009,7.4
12/22/2009,7.4
12/23/2009,7.4
12/24/2009,7.6
12/25/2009,7.7
12/26/2009,8.2
12/27/2009,8.3
12/28/2009,8.3
12/29/2009,8.3
12/30/2009,8.4
12/31/2009,8.4
1/1/2010,8.5
1/2/2010,8.5
1/3/2010,9
1/4/2010,9.1
1/5/2010,9.2
1/6/2010,9.3
1/7/2010,9.3
1/8/2010,9.3
1/9/2010,9.5
1/10/2010,9.5
1/11/2010,9.5
1/12/2010,9.6
1/13/2010,9.6
1/14/2010,9.6
1/15/2010,9.6
1/16/2010,9.6
1/17/2010,9.6
1/18/2010,9.6
1/19/2010,9.6
1/20/2010,9.6
1/21/2010,9.8
1/22/2010,10.1
1/23/2010,10.1
1/24/2010,10.2
1/25/2010,10.8
1/26/2010,10.9
1/27/2010,11
1/28/2010,11
1/29/2010,11
1/30/2010,11
1/31/2010,11
2/1/2010,11
2/2/2010,11
2/3/2010,11
2/4/2010,11.2
2/5/2010,11.2
2/6/2010,11.4
2/7/2010,11.5
2/8/2010,11.5
2/9/2010,11.5
2/10/2010,11.5
2/11/2010,11.6
2/12/2010,11.7
2/13/2010,11.9
2/14/2010,12.1
2/15/2010,12.1
2/16/2010,12.3
2/17/2010,12.6
2/18/2010,12.6
2/19/2010,12.9
2/20/2010,13
2/21/2010,13.3
2/22/2010,13.6
2/23/2010,13.6
2/24/2010,13.7
2/25/2010,13.7
2/26/2010,14
2/27/2010,14
2/28/2010,14.3
3/1/2010,14.3
3/2/2010,14.3
3/3/2010,14.3
3/4/2010,14.3
3/5/2010,14.3
3/6/2010,15
3/7/2010,15.1
3/8/2010,15.5
3/9/2010,15.5
3/10/2010,15.5
3/11/2010,15.6
3/12/2010,15.7
3/13/2010,15.8
3/14/2010,15.8
3/15/2010,15.8
3/16/2010,15.8
3/17/2010,15.8
3/18/2010,15.8
3/19/2010,15.9
3/20/2010,16
3/21/2010,16
3/22/2010,16.3
3/23/2010,16.6
3/24/2010,16.7
3/25/2010,16.7
3/26/2010,16.9
3/27/2010,17.1
3/28/2010,17.3
